Comment ID,no.,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.81E+18,94,"I am tired, reality TV shows are becoming unbearable now. Every week we must watch grown women fight? They keep hosting parties and events but you already know they won't have fun but only fight. 
#RHONairobi","Production, Casting, and Franchise Critique (94)",Negative (94),The emotion expressed in this comment is exhaustion and frustration. (94),Weary / Frustrated (94),1 (94),RHONairobi repetitive conflict critique (94),3 (94),– (94),Repetitive fighting making reality TV unbearable (94),1 (94),3 (94),Viewer exhaustion with violent femininity (94),3 (94),3 (94),1 (94),0 (94),0 (94),– (94),– (94),0 (94),– (94),4 (94),4 (94),0 (94),– (94),1 (94),Reinforced belief that conflict fatigue affects audience enjoyment (94),0 (94),– (94),0 [94],– (94),0 (94),– (94),0 (94),– (94),0 (94),,,,,,,,,
1.81E+18,95,"@MPireBliss I told my sister the exact same thing..Zenah/Xenah is on something with Charles. Imma tell y'all right now a woman who has been a side chick/side baby mama/2nd wife claiming your husband as ""our husband"" is a huge problem and needs taking out immediately #RHONairobi #RHON https://t.co/6ZuGjfLd3g","Gender Norms, Respectability, and Womanhood (95)",Negative (95),The emotion expressed in this comment is suspicion and jealousy. (95),Accusatory / Alarmist (95),1 (95),RHONairobi infidelity insinuation (95),3 (95),– (95),Infidelity insinuations and boundary violations (95),1 (95),"4,8 (95)",Side-chick stigma and marital boundaries (95),3 (95),3 (95),2 (95),1 (95),0 (95),– (95),– (95),1 (95),“needs taking out immediately” (95),2 (95),2 (95),0 (95),– (95),1 (95),Reinforced belief that sexual rivalry narratives undermine women’s solidarity (95),1 (95),Calls for intervention to stop inappropriate relationships or behavior (95),1 [95],Shares speculation about an inappropriate relationship (95),1 (95),Advocates confronting and removing perceived relationship threats (95),0 (95),– (95),0 (95),,,,,,,,,
1.81E+18,96,"Not me looking for Zenah on instagram and leaving a nasty comment 😂😂 she really pissed me off. Tomorrow im fetching Minne im tired, someone needs to step in and check these girls!
#RHONairobi https://t.co/8OEzuC1apQ","Interpersonal Conflict, Bullying, and Aggression (96)",Negative (96),The emotion expressed in this comment is anger and agitation. (96),Confessional / Aggressive (96),1 (96),RHONairobi fan harassment behavior (96),3 (96),– (96),Fan harassment and online bullying escalation (96),1 (96),4 (96),Online harassment and fan aggression (96),3 (96),3 (96),2 (96),1 (96),0 (96),– (96),– (96),1 (96),“leaving a nasty comment” (96),2 (96),2 (96),0 (96),– (96),1 (96),Reinforced belief that audience harassment mirrors on-screen toxicity (96),0 (96),– (96),1 [96],Shares personal action of posting a comment online (96),1 (96),Advocates intervention to stop bullying behavior (96),0 (96),– (96),0 (96),,,,,,,,,
1.81E+18,97,At this stage Rajah is a nonsense person how could she attack Dr.C with her husband? That was very low of her and a proof that she's so unstable. 100%  mental case with her negative energy. She's a waste. #RhoNairobi #RhoNairobi,"Interpersonal Conflict, Bullying, and Aggression (97)",Negative (97),The emotion expressed in this comment is anger and condemnation. (97),Hostile / Degrading (97),1 (97),RHONairobi physical attack incident (97),3 (97),– (97),Physical attack and mental instability portrayal (97),1 (97),7 (97),Mental instability as gendered insult (97),3 (97),3 (97),2 (97),1 (97),0 (97),– (97),– (97),1 (97),“mental case… she’s a waste” (97),3 (97),3 (97),0 (97),– (97),1 (97),Reinforced belief that instability is treated as entertainment value (97),0 (97),– (97),0 [97],– (97),0 (97),– (97),0 (97),– (97),0 (97),,,,,,,,,
1.81E+18,98,"Housewives thinking being late to events is cute is actually not. 
Really you can't be that vain to think your looks are so important, you can't honor time. People make provision for your presence and you won't even eat or immense yourself in the event. 
#RHONairobi","Gender Norms, Respectability, and Womanhood (98)",Negative (98),The emotion expressed in this comment is disapproval and moral judgment. (98),Lecturing / Moralizing (98),1 (98),RHONairobi lateness norm critique (98),3 (98),– (98),Disrespect for time and event etiquette (98),1 (98),3 (98),Time discipline as feminine virtue (98),3 (98),3 (98),1 (98),0 (98),0 (98),– (98),– (98),0 (98),– (98),6 (98),6 (98),0 (98),– (98),1 (98),Reinforced belief that vanity overrides social responsibility (98),0 (98),– (98),0 [98],– (98),0 (98),– (98),0 (98),– (98),0 (98),,,,,,,,,
1.81E+18,99,"I love the relationship Minnie and her husband Charles have you can tell they are each other's best friend. That man loves his wife. 😍😍😍
#RHONairobi","Positive Identification, Praise, and Aspiration (99)",Positive (99),The emotion expressed in this comment is affection and happiness. (99),Affectionate / Warm (99),1 (99),RHONairobi marriage portrayal (99),1 (99),Healthy marriage and mutual affection (99),– (99),1 (99),"1,4 (99)",Romantic partnership as idealized gender norm (99),1 (99),1 (99),2 (99),0 (99),0 (99),– (99),– (99),0 (99),– (99),9 (99),9 (99),0 (99),– (99),1 (99),Reinforced belief that supportive marriages are rare and noteworthy (99),0 (99),– (99),0 [99],– (99),0 (99),– (99),0 (99),– (99),0 (99),,,,,,,,,
1.81E+18,100,"So all these grown women a forming a group to bully another woman. Farah has been nothing but nice to these ladies and they return the gestures by showing her their ass. They are all disgusting.
#RHONairobi","Interpersonal Conflict, Bullying, and Aggression (100)",Negative (100),The emotion expressed in this comment is anger and disgust. (100),Outraged / Condemning (100),1 (100),RHONairobi bullying storyline (100),3 (100),– (100),Group bullying and cruelty toward Farah (100),1 (100),4 (100),Female bullying and social cruelty (100),3 (100),3 (100),1 (100),0 (100),0 (100),– (100),– (100),1 (100),“bully another woman… disgusting” (100),3 (100),3 (100),0 (100),– (100),1 (100),Reinforced belief that group bullying is normalized behavior (100),0 (100),– (100),0 [100],– (100),0 (100),– (100),0 (100),– (100),0 (100),,,,,,,,,
1.81E+18,101,Production needs to cut Charles a cheque.#RHONairobi,"Production, Casting, and Franchise Critique (101)",Neutral (101),The emotion expressed in this comment is neutrality and observation. (101),Matter-of-fact / Supportive (101),1 (101),RHONairobi production labor (101),2 (101),– (101),– (101),0 (101),8 (101),Male labor supporting female visibility (101),2 (101),2 (101),3 (101),3 (101),0 (101),– (101),– (101),0 (101),– (101),9 (101),9 (101),0 (101),– (101),1 (101),Reinforced belief that male labor is undervalued in production narratives (101),1 (101),Calls for production to financially compensate a cast member (101),0 [101],– (101),1 (101),Advocates compensating Charles for his contribution/screen time (101),0 (101),– (101),0 (101),,,,,,,,,
1.81E+18,102,"Leaving the baby with Farah was so cute

#RHONairobi","Gender Norms, Respectability, and Womanhood (102)",Positive (102),The emotion expressed in this comment is affection and warmth. (102),Affectionate / Gentle (102),1 (102),RHONairobi caregiving moment (102),1 (102),Caregiving and tenderness involving Farah (102),– (102),1 (102),1 (102),Motherhood and trust (102),1 (102),1 (102),2 (102),0 (102),0 (102),– (102),– (102),0 (102),– (102),8 (102),8 (102),0 (102),– (102),0 (102),– (102),0 (102),– (102),0 [102],– (102),0 (102),– (102),0 (102),– (102),0 (102),,,,,,,,,
1.81E+18,103,"What’s this switch up from Dr. C towards Farah? I’ll actually appreciate it if my friend took me to a Gin making class because I’m launching a Gin line. 

Are these women okay? 

#RHONairobi","Gender Norms, Respectability, and Womanhood (103)",Neutral (103),The emotion expressed in this comment is confusion and concern. (103),Confused / Concerned (103),1 (103),RHONairobi friendship shift (103),2 (103),– (103),– (103),1 (103),3 (103),Friendship expectations among women (103),2 (103),2 (103),2 (103),0 (103),0 (103),– (103),– (103),0 (103),– (103),6 (103),6 (103),0 (103),– (103),1 (103),Reinforced belief that women’s professional ambitions are trivialized (103),0 (103),– (103),0 [103],– (103),0 (103),– (103),0 (103),– (103),0 (103),,,,,,,,,
